id,lat,lon,data_hora_gmt,satelite,municipio,estado,pais,municipio_id,estado_id,pais_id,numero_dias_sem_chuva,precipitacao,risco_fogo,bioma,frp
b060c1ed-6f1c-3e36-9ef4-b812cd0d3ea2, -22.911699, -43.706799,2023-05-05 00:04:38,METOP-B,RIO DE JANEIRO,RIO DE JANEIRO,Brasil,3304557,33,33,,,,Mata Atlântica,
31e11051-cc37-3531-8acb-d8d98225d857, -22.908701, -43.688400,2023-05-05 00:04:38,METOP-B,RIO DE JANEIRO,RIO DE JANEIRO,Brasil,3304557,33,33,,,,Mata Atlântica,
953e7907-eed8-38b2-b7e7-ad32bd834fbf, -10.231400, -49.557800,2023-05-05 00:06:04,GOES-16,PIUM,TOCANTINS,Brasil,1717503,17,33,3.0,10.37,0.0,Cerrado,79.0
5119cda4-885e-3763-9957-977982fa1f19, -11.571700, -52.576000,2023-05-05 00:06:11,GOES-16,SÃO FÉLIX DO ARAGUAIA,MATO GROSSO,Brasil,5107859,51,33,4.0,0.0,0.02,Amazônia,75.3
a87f15b8-92c4-3cac-a916-6d0575c0f3d0, -11.571900, -52.555100,2023-05-05 00:06:11,GOES-16,SÃO FÉLIX DO ARAGUAIA,MATO GROSSO,Brasil,5107859,51,33,4.0,0.0,0.01,Amazônia,70.1
62cef44f-a32f-3d30-985c-d9dd6bb939aa, -18.460800, -53.085500,2023-05-05 00:06:49,GOES-16,COSTA RICA,MATO GROSSO DO SUL,Brasil,5003256,50,33,8.0,0.0,0.1,Cerrado,61.3
e19ac1af-7a55-371f-aa36-4bd647f3eb17, -13.621100, -45.466801,2023-05-05 00:07:17,METOP-B,CORRENTINA,BAHIA,Brasil,2909307,29,33,,,,Cerrado,
76a2324c-4ea9-3b2d-9a3a-4bb016ff41d6, -13.624400, -45.484200,2023-05-05 00:07:17,METOP-B,CORRENTINA,BAHIA,Brasil,2909307,29,33,,,,Cerrado,
c7d80cf1-7a89-3e9a-866c-1bfdf4b40f34, -11.451600, -43.281200,2023-05-05 00:07:46,METOP-B,BARRA,BAHIA,Brasil,2902708,29,33,,,,Cerrado,
28f3bd26-e264-310e-8643-312bb36ac1cf, -11.454000, -43.292702,2023-05-05 00:07:46,METOP-B,BARRA,BAHIA,Brasil,2902708,29,33,,,,Cerrado,
490c549f-79e1-3a56-aded-c95c044cb3f1,  -9.478700, -36.996498,2023-05-05 00:07:56,METOP-B,MAJOR ISIDORO,ALAGOAS,Brasil,2704401,27,33,,,,Caatinga,
0dbb0951-59be-3598-b7c8-e73e3df7f918,  -9.480400, -37.003700,2023-05-05 00:07:56,METOP-B,MAJOR ISIDORO,ALAGOAS,Brasil,2704401,27,33,,,,Caatinga,
19ee3a23-984e-3515-a52d-01f665747ba6, -10.221800, -49.507801,2023-05-05 00:08:26,METOP-B,PIUM,TOCANTINS,Brasil,1717503,17,33,,,,Cerrado,
f7c689b4-729a-36bc-8255-888718612aea, -10.212200, -49.509701,2023-05-05 00:08:27,METOP-B,PIUM,TOCANTINS,Brasil,1717503,17,33,,,,Cerrado,
aa234700-bf30-337d-a31a-ed2b713caafa, -10.231400, -49.557800,2023-05-05 00:16:04,GOES-16,PIUM,TOCANTINS,Brasil,1717503,17,33,3.0,10.37,0.0,Cerrado,71.6
954020ef-885b-3450-9867-efcb5d31cedf, -11.179500, -48.187900,2023-05-05 00:16:09,GOES-16,SILVANÓPOLIS,TOCANTINS,Brasil,1720655,17,33,5.0,0.64,0.14,Cerrado,39.0
06b2c862-b5bf-3a21-a502-4b1716978725, -11.571700, -52.576000,2023-05-05 00:16:11,GOES-16,SÃO FÉLIX DO ARAGUAIA,MATO GROSSO,Brasil,5107859,51,33,4.0,0.0,0.02,Amazônia,88.5
4a0189cb-80f0-39cb-9f35-dc3aaab70aaf, -11.571900, -52.555100,2023-05-05 00:16:11,GOES-16,SÃO FÉLIX DO ARAGUAIA,MATO GROSSO,Brasil,5107859,51,33,4.0,0.0,0.01,Amazônia,79.2
67d46ca4-9eb0-3b97-bbee-76a24cd50e55, -13.624100, -45.491000,2023-05-05 00:16:22,GOES-16,CORRENTINA,BAHIA,Brasil,2909307,29,33,11.0,0.0,0.68,Cerrado,45.6
5de447d0-f801-318a-817b-7bcb2070a5c7, -18.460800, -53.085500,2023-05-05 00:16:49,GOES-16,COSTA RICA,MATO GROSSO DO SUL,Brasil,5003256,50,33,8.0,0.0,0.1,Cerrado,59.1
f7e2aee3-72e1-300b-8790-d653bb44a800, -10.231400, -49.557800,2023-05-05 00:26:04,GOES-16,PIUM,TOCANTINS,Brasil,1717503,17,33,3.0,10.37,0.0,Cerrado,57.5
96b58c8c-a2b2-392b-9dd9-14d340702887, -11.571700, -52.576000,2023-05-05 00:26:11,GOES-16,SÃO FÉLIX DO ARAGUAIA,MATO GROSSO,Brasil,5107859,51,33,4.0,0.0,0.02,Amazônia,87.8
7b392bd8-ed27-3329-a6e9-35158767a12e, -11.571900, -52.555100,2023-05-05 00:26:11,GOES-16,SÃO FÉLIX DO ARAGUAIA,MATO GROSSO,Brasil,5107859,51,33,4.0,0.0,0.01,Amazônia,84.5
987cc664-1a2d-31af-a9d1-9b7265cabeb3, -13.624100, -45.491000,2023-05-05 00:26:22,GOES-16,CORRENTINA,BAHIA,Brasil,2909307,29,33,11.0,0.0,0.68,Cerrado,54.5
635713d4-e3b7-36c0-b3d8-2e97ab5c2617, -18.460800, -53.085500,2023-05-05 00:26:49,GOES-16,COSTA RICA,MATO GROSSO DO SUL,Brasil,5003256,50,33,8.0,0.0,0.1,Cerrado,58.3
ac2c341b-6b3b-3f78-ac22-9848901b24c6, -10.231400, -49.557800,2023-05-05 00:36:04,GOES-16,PIUM,TOCANTINS,Brasil,1717503,17,33,3.0,10.37,0.0,Cerrado,50.2
56106a70-f8b3-345c-99d4-10ac502e7ab6, -10.212500, -49.559800,2023-05-05 00:36:04,GOES-16,PIUM,TOCANTINS,Brasil,1717503,17,33,3.0,10.05,0.0,Cerrado,39.3
